Sr No.,title,chapter_id,date,Duration
1,TEST-0,5,2025-03-23,90
2,TEST-1,5,2025-03-23,90
3,test,5,2025-03-23,90
4,test4,5,2025-03-23,90
5,test4,5,2025-03-23,90
6,g,5,2025-03-23,89
7,I,5,2025-03-24,89
8,O,6,2025-03-24,78
9,w,7,2025-03-24,34
10,x,8,2025-03-24,4
11,t,9,2025-03-24,67
12,z,11,2025-03-24,56
13,y,12,2025-03-24,3
14,i,13,2025-03-24,67
15,5,14,2025-03-24,67
16,c,15,2025-03-24,67
17,c,16,2025-03-24,67
18,u,17,2025-03-24,89
19,gvh,18,2025-03-24,89
20,gy,19,2025-03-24,78
21,yu,20,2025-03-24,67
22,derivative,21,2025-03-27,20
23,hhbn,21,2025-03-27,56
24,uv formula,5,2025-03-27,67
25,ji,5,2025-03-27,67
26,ji,5,2025-03-27,67
27,ji,5,2025-03-27,67
28,gui,5,2025-03-27,90
29,gui,12,2025-03-27,56
30,THREADS,22,2025-03-27,90
31,HI,22,2025-03-27,89
32,HI,22,2025-03-27,89
33,YU,23,2025-03-27,58
34,YU,10,2025-03-27,58
